# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.7.3
#@/tick	15795
#@/user_id	rime-setting
chan pin 	產品	c=3 d=5.41637e-11 t=15795
chan sheng 	產生	c=1 d=7.28276e-06 t=15795
chang 	常	c=1 d=2.85853e-33 t=15795
chang 	長	c=1 d=1.49874e-25 t=15795
chang deng 	長凳	c=1 d=6.84793e-17 t=15795
chang jing 	場景	c=4 d=4.42173e-18 t=15795
chang jiu 	長久	c=1 d=2.46337e-18 t=15795
chang qi 	長期	c=5 d=0.000422213 t=15795
chang sheng 	昌盛	c=1 d=2.73983e-34 t=15795
chang sheng 	長生	c=1 d=2.72616e-34 t=15795
chang shi 	嘗試	c=9 d=0.646394 t=15795
chang tong 	暢通	c=1 d=2.32711e-25 t=15795
chang wei 	腸胃	c=1 d=3.01133e-28 t=15795
chang xiang 	唱響	c=1 d=2.07791e-16 t=15795
chang yong 	常用	c=1 d=7.32675e-18 t=15795
chang yuan 	長遠	c=1 d=7.5916e-24 t=15795
chao di 	抄底	c=1 d=1.21213e-28 t=15795
che 	車	c=2 d=7.31993e-27 t=15795
che di 	徹底	c=3 d=0.000195227 t=15795
che di jie fang 	徹底解放	c=1 d=2.7051e-31 t=15795
che ji 	車技	c=2 d=2.15253e-27 t=15795
che kuang 	車況	c=1 d=1.68169e-27 t=15795
chen jin 	沉浸	c=1 d=0.000211772 t=15795
chen zhu qi 	沉住氣	c=1 d=2.14265e-24 t=15795
chen zui 	沉醉	c=1 d=1.0677e-06 t=15795
cheng 	成	c=8 d=1.75698e-05 t=15795
cheng 	稱	c=2 d=7.41303e-29 t=15795
cheng bai 	成敗	c=1 d=1.66524e-29 t=15795
cheng du 	成都	c=1 d=1.04927e-07 t=15795
cheng du 	程度	c=1 d=1.05453e-07 t=15795
cheng gong 	成功	c=14 d=0.473851 t=15795
cheng guo 	成果	c=1 d=0.00114197 t=15795
cheng jiu 	成就	c=6 d=0.000221519 t=15795
cheng le 	成了	c=1 d=2.57054e-19 t=15795
cheng nuo 	承諾	c=2 d=8.11444e-22 t=15795
cheng ren 	成人	c=1 d=8.27214e-34 t=15795
cheng se 	成色	c=1 d=7.76765e-29 t=15795
cheng shi 	城市	c=1 d=1.33638e-29 t=15795
cheng shi 	成事	c=1 d=2.88677e-31 t=15795
cheng shou bu qi 	承受不起	c=1 d=2.5701e-17 t=15795
cheng shu 	成熟	c=1 d=1.80989e-09 t=15795
cheng shu du 	成熟度	c=1 d=9.48904e-31 t=15795
cheng wei 	成爲	c=4 d=1.97912e-14 t=15795
cheng xin 	誠信	c=3 d=1.18466e-23 t=15795
cheng xu 	程序	c=3 d=6.7388e-15 t=15795
cheng xu yuan 	程序員	c=3 d=2.66029e-08 t=15795
cheng xu yuan ke zhan 	程序員客棧	c=1 d=1.48156e-07 t=15795
cheng zhang 	成長	c=2 d=0.00109172 t=15795
cheng zhu zai xiong 	成竹在胸	c=1 d=2.67818e-31 t=15795
chi bu xiao 	喫不消	c=1 d=2.37251e-17 t=15795
chi guo 	喫過	c=1 d=4.65319e-30 t=15795
chi he 	喫喝	c=1 d=1.81205e-23 t=15795
chi jiu 	持久	c=1 d=2.37865e-18 t=15795
chi kuang 	癡狂	c=1 d=2.9304e-31 t=15795
chi mi 	癡迷	c=2 d=3.34242e-25 t=15795
